"cnumber","pname","van0","title","fips","county","city","tn","date","month","year","state"
"fsa1998002061/PP","Lee","Work","Work in Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29695_150px.jpg","1940-12",12,1940,"California"
"fsa1998002062/PP","Lee","Work","Shasta Dam under construction. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29696_150px.jpg","1940-12",12,1940,"California"
"fsa1998002067/PP","Lee","Work","Detail of Shasta Dam under construction. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29702_150px.jpg","1940-12",12,1940,"California"
"fsa1998002069/PP","Lee","Work","Spot welder at work on Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29704_150px.jpg","1940-12",12,1940,"California"
"fsa1998002073/PP","Lee","Work","Catwalk at Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29708_150px.jpg","1940-12",12,1940,"California"
"fsa1998002077/PP","Lee","Work","Telephone communication is maintained between all construction points at Shasta ",6089,"Shasta","","thumb/0310/0310/8a29712_150px.jpg","1940-12",12,1940,"California"
"fsa1998002086/PP","Lee","Work","Construction work, Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29721_150px.jpg","1940-12",12,1940,"California"
"fsa1998002088/PP","Lee","Work","Working on construction of Shasta Dam. Shasta County, California.",6089,"Shasta","","thumb/0310/0310/8a29723_150px.jpg","1940-12",12,1940,"California"
"fsa1998002090/PP","Lee","Social and Personal Activity","Construction workers getting a drink of water. Main distributing tower is in the",6089,"Shasta","","thumb/0310/0310/8a29725_150px.jpg","1940-12",12,1940,"California"
"fsa1998002091/PP","Lee","Work","Construction workers using tools to settle freshly-poured concrete, Shasta Dam. ",6089,"Shasta","","thumb/0310/0310/8a29726_150px.jpg","1940-12",12,1940,"California"
"fsa1998002092/PP","Lee","Work","Surveyors at work, Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29727_150px.jpg","1940-12",12,1940,"California"
"fsa1998002094/PP","Lee","Work","Surveyors at work, Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29729_150px.jpg","1940-12",12,1940,"California"
"fsa1998002096/PP","Lee","Work","Construction work on Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29731_150px.jpg","1940-12",12,1940,"California"
"fsa1998002098/PP","Lee","Work","Telephonic communication between construction points, Shasta Dam. Shasta County,",6089,"Shasta","","thumb/0310/0310/8a29733_150px.jpg","1940-12",12,1940,"California"
"fsa1998002101/PP","Lee","Work","Shasta Dam under construction, looking down the river, Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29736_150px.jpg","1940-12",12,1940,"California"
"fsa1998002102/PP","Lee","Work","Construction worker, Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29737_150px.jpg","1940-12",12,1940,"California"
"fsa1998002103/PP","Lee","Work","Construction work, Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29738_150px.jpg","1940-12",12,1940,"California"
"fsa1998002106/PP","Lee","Social and Personal Activity","Construction workers eating lunch, Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29741_150px.jpg","1940-12",12,1940,"California"
"fsa1998002107/PP","Lee","Social and Personal Activity","High school horse performs before children of construction workers at Summit Cit",6057,"Nevada","Summit City","thumb/0310/0310/8a29742_150px.jpg","1940-12",12,1940,"California"
"fsa1998002110/PP","Lee","Work","Part of Shasta Dam under construction. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29745_150px.jpg","1940-12",12,1940,"California"
"fsa1998002111/PP","Lee","Work","Concrete bucket over Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29746_150px.jpg","1940-12",12,1940,"California"
"fsa1998002114/PP","Lee","Social and Personal Activity","Children of construction workers watching high school horse at Summit City, Cali",6057,"Nevada","Summit City","thumb/0310/0310/8a29749_150px.jpg","1940-12",12,1940,"California"
"fsa1998002116/PP","Lee","Work","Construction workers on truck which will carry them to work on Shasta Dam, Shast",6089,"Shasta","","thumb/0310/0310/8a29751_150px.jpg","1940-12",12,1940,"California"
"fsa1998002118/PP","Lee","Social and Personal Activity","Construction workers playing pool in company commissary, Shasta Dam. Shasta Coun",6089,"Shasta","","thumb/0310/0310/8a29753_150px.jpg","1940-12",12,1940,"California"
"fsa1998002119/PP","Lee","People As Such","Construction workers on front porch of commissary, Shasta Dam. Shasta County, Ca",6089,"Shasta","","thumb/0310/0310/8a29754_150px.jpg","1940-12",12,1940,"California"
"fsa1998002121/PP","Lee","People As Such","Construction workers on front porch of commissary, Shasta Dam. Shasta County, Ca",6089,"Shasta","","thumb/0310/0310/8a29756_150px.jpg","1940-12",12,1940,"California"
"fsa1998002124/PP","Lee","Organized Society","Construction workers lined up to be paid off, Shasta Dam, Shasta County, Califor",6089,"Shasta","","thumb/0310/0310/3c30595_150px.jpg","1940-12",12,1940,"California"
"fsa1998002125/PP","Lee","People As Such","Construction workers in commissary, Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29760_150px.jpg","1940-12",12,1940,"California"
"fsa1998002127/PP","Lee","Social and Personal Activity","Construction workers playing pool in commissary, Shasta Dam, Shasta County, Cali",6089,"Shasta","","thumb/0310/0310/8a29762_150px.jpg","1940-12",12,1940,"California"
"fsa1998002129/PP","Lee","People As Such","Construction worker on Shasta Dam, Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29764_150px.jpg","1940-12",12,1940,"California"
"fsa1998002130/PP","Lee","People As Such","Construction worker on Shasta Dam. Shasta County, California",6089,"Shasta","","thumb/0310/0310/8a29765_150px.jpg","1940-12",12,1940,"California"
"fsa1998002131/PP","Lee","Social and Personal Activity","Tavern. Summit City, boom town near Shasta Dam. Shasta County, California",6089,"Shasta","Summit City","thumb/0310/0310/8a29766_150px.jpg","1940-12",12,1940,"California"
"fsa1998002134/PP","Lee","Organized Society","Applicants for grants. FSA (Farm Security Administration) office at Marysville, ",6115,"Yuba","Marysville","thumb/0310/0310/8a29769_150px.jpg","1940-12",12,1940,"California"
"fsa1998002137/PP","Lee","Religion","Building on a main highway in Tehama County, California",6103,"Tehama","","thumb/0310/0310/8a29771_150px.jpg","1940-12",12,1940,"California"
"fsa1998002139/PP","Lee","People As Such","Shasta Dam construction workers drinking beer at entrance to bar. Central Valley",6089,"Shasta","Central Valley","thumb/0310/0310/8a29773_150px.jpg","1940-12",12,1940,"California"
"fsa1998002141/PP","Lee","People As Such","Visalia, California. Children at Mineral King Cooperative Farm",6107,"Tulare","Visalia","thumb/0310/0310/8a29775_150px.jpg","1940-12",12,1940,"California"
"fsa1998002142/PP","Lee","People As Such","Visalia, California. Children of Mineral King Cooperative Farm",6107,"Tulare","Visalia","thumb/0310/0310/8a29776_150px.jpg","1940-12",12,1940,"California"
"fsa1998002143/PP","Lee","Work","Visalia, California. Members of Mineral King Cooperative Farm unloading hay",6107,"Tulare","Visalia","thumb/0310/0310/8a29777_150px.jpg","1940-12",12,1940,"California"
"fsa1998002147/PP","Lee","Organized Society","Meeting of farmers with agricultural agent. Placer County, California",6061,"Placer","","thumb/0310/0310/8a29786_150px.jpg","1940-12",12,1940,"California"
"fsa1998002159/PP","Lee","Organized Society","Officer and speaker at meeting of farmers with agricultural agent. Placer County",6061,"Placer","","thumb/0310/0311/8a29792_150px.jpg","1940-12",12,1940,"California"
